trial_number,trial_onset,reaction_time,accuracy,condition,subject_id
1,2.1919404111762204,258.5669676099586,1,medium,subject_002
2,5.447256445874963,388.4097189301553,1,easy,subject_002
3,7.880287505677874,765.7887488783928,0,easy,subject_002
4,9.822653026911237,296.4290227483279,1,medium,subject_002
5,10.472101070410837,320.84090750063444,1,easy,subject_002
6,12.658367069974215,312.02301216753983,0,hard,subject_002
7,17.900067845052625,302.1330391086298,1,medium,subject_002
8,17.9802424196501,233.78274743639,1,easy,subject_002
9,20.417443926220578,225.65583983901786,1,easy,subject_002
10,20.625384504293407,747.8983429080437,1,hard,subject_002
11,21.314750762308915,254.24022981249342,1,medium,subject_002
12,28.78206566722424,381.4569462657409,1,easy,subject_002
13,29.526736176189026,298.198364128496,1,hard,subject_002
14,30.938204152098514,363.7608517900745,0,easy,subject_002
15,32.93263827502337,153.5340397047869,1,easy,subject_002
16,33.007858102450726,321.8543396297239,1,medium,subject_002
17,37.238639453456855,240.2733496879699,1,medium,subject_002
18,37.65672214001573,641.8825010123239,1,hard,subject_002
19,38.50036099750336,202.57962292939894,1,medium,subject_002
20,39.879180176460345,236.1872174695904,0,easy,subject_002
21,46.081762758581746,725.0787079165602,1,easy,subject_002
22,46.534092475690855,267.5145220469936,0,medium,subject_002
23,47.033923953146115,411.31093189527667,1,easy,subject_002
24,49.05977634305411,322.2294105578583,1,medium,subject_002
25,50.199013161563485,285.79547821881187,1,hard,subject_002
26,52.08336474834975,211.54897810198526,1,hard,subject_002
27,52.47665861647022,222.18903319380928,1,hard,subject_002
28,53.04858963134781,271.4109328369565,1,medium,subject_002
29,53.78394410805501,264.94891956119403,1,medium,subject_002
30,54.95934110782439,666.4295225933938,0,hard,subject_002
31,56.87443453853499,329.5293384187318,1,medium,subject_002
32,57.55725689772448,318.3775005746689,1,hard,subject_002
33,60.77542372805996,242.92677716390878,1,medium,subject_002
34,61.590668553529646,357.81951726155614,1,medium,subject_002
35,63.64925480586751,183.0287364868532,1,medium,subject_002
36,64.79193375396964,344.56623837938207,1,hard,subject_002
37,66.0266483967182,361.95362805680446,1,hard,subject_002
38,68.94589414458987,332.38841681582426,1,medium,subject_002
39,70.1501205795957,298.4417932922611,1,medium,subject_002
40,74.79909971241376,298.48297303516006,1,easy,subject_002
41,74.86341617733721,188.1285769368708,1,medium,subject_002
42,74.88807562783275,281.44816645162365,1,easy,subject_002
43,78.65561849546596,247.17367782695,1,hard,subject_002
44,82.65371457603214,309.28315529596654,1,medium,subject_002
45,82.80690374480034,394.6075597316497,1,hard,subject_002
46,83.3576442312376,376.1265115226653,1,hard,subject_002
47,87.4417711478385,284.66558272325375,1,hard,subject_002
48,88.72951786806121,260.3440281183557,1,medium,subject_002
49,91.21047694982951,273.10381338761164,0,easy,subject_002
50,93.5433061925291,306.8920550809691,1,easy,subject_002
51,94.4262275233113,231.2566425610718,0,easy,subject_002
52,99.48545331069491,249.03328668242798,1,hard,subject_002
53,99.49657472615098,264.87501729051206,1,easy,subject_002
54,103.95118211205059,313.5889099775265,1,medium,subject_002
55,105.11739427925974,255.40900416266294,1,medium,subject_002
56,107.865229563839,891.3821051332069,1,hard,subject_002
57,109.22111495515519,226.7275915216153,1,medium,subject_002
58,113.02301967965388,410.2401108759401,1,hard,subject_002
