trial_number,trial_onset,reaction_time,accuracy,condition,subject_id
1,2.175931760771167,347.0918306778058,1,hard,subject_003
2,3.7645389532656575,228.4736272322855,1,easy,subject_003
3,5.352726159322059,739.772557509327,1,easy,subject_003
4,7.253337093245889,407.32624923143027,1,medium,subject_003
5,12.56287360078369,297.4112351934861,1,medium,subject_003
6,14.515866510774202,362.62350914991083,1,medium,subject_003
7,19.159681036913003,346.93161796995355,1,hard,subject_003
8,21.389176521294566,288.6975297298629,1,easy,subject_003
9,21.993091350507303,306.3734537088113,1,easy,subject_003
10,23.23750529632139,289.77216826443595,0,hard,subject_003
11,23.907153929271413,343.5463490293726,0,easy,subject_003
12,24.233830447138672,279.88331435847164,1,medium,subject_003
13,29.377461073079935,248.162769114367,1,medium,subject_003
14,34.441430725829065,212.8398656584506,1,easy,subject_003
15,35.33654375732838,317.4008911863214,0,medium,subject_003
16,35.37010504598657,669.1655419738496,1,medium,subject_003
17,43.53938151346093,355.43595392381326,1,easy,subject_003
18,43.95310316745672,303.8761138192634,1,easy,subject_003
19,45.23234471573706,347.01618891326086,1,easy,subject_003
20,46.86351901970389,221.82337746692053,1,medium,subject_003
21,47.03755653741222,184.1000221988606,1,hard,subject_003
22,49.92445517210521,346.41688518830347,0,hard,subject_003
23,52.23440883301592,207.7614518410787,1,easy,subject_003
24,54.28678043945406,269.1082687188772,0,hard,subject_003
25,55.203166460438844,258.18856082627553,1,hard,subject_003
26,56.38518258809993,341.4600135434786,1,easy,subject_003
27,57.423518501834316,261.4819419849172,1,easy,subject_003
28,59.29823607090306,250.61991085549587,1,medium,subject_003
29,59.869610551450194,339.55736368677316,1,medium,subject_003
30,62.59644574220465,379.4684698378399,1,easy,subject_003
31,63.45129028858259,290.7064411957797,1,medium,subject_003
32,65.3549139441531,246.87750269726624,1,medium,subject_003
33,66.14321859302325,294.234584654088,1,hard,subject_003
34,66.15998477664613,299.27041975800745,1,easy,subject_003
35,66.64957018252888,298.1152560425406,1,medium,subject_003
36,70.72405465439125,268.6548433144218,1,medium,subject_003
37,73.89848184753465,268.61630779215255,1,medium,subject_003
38,74.99164272442304,254.32021871511148,1,medium,subject_003
39,76.3472860707355,394.23038467594296,0,easy,subject_003
40,80.48314410751458,215.0484687325328,1,hard,subject_003
41,84.47342072927432,281.2840217917379,1,easy,subject_003
42,85.12684923370773,191.7741728938266,1,easy,subject_003
43,85.19283624940549,244.1485608875255,0,easy,subject_003
44,90.26907429729269,710.5012788809423,1,easy,subject_003
45,90.31277992201508,162.95171993716335,1,medium,subject_003
46,90.85058871281842,311.55459998850336,1,medium,subject_003
47,92.6297751110585,360.00639471764475,1,medium,subject_003
48,93.99436056681122,351.4344201659486,1,hard,subject_003
49,95.98032475507522,521.3840752678482,1,hard,subject_003
50,99.88944246795091,275.7500187470838,1,easy,subject_003
51,99.92980595468966,251.23596363671646,1,easy,subject_003
52,102.86252450751658,386.48710296918017,1,easy,subject_003
53,105.03184677259884,899.9870727990974,1,hard,subject_003
54,106.17487832535491,200.70738923598816,1,medium,subject_003
55,108.00411085676062,325.3755691768585,1,easy,subject_003
56,112.6617016851293,262.0261046949888,1,medium,subject_003
57,116.50063622537559,349.67971136339844,1,hard,subject_003
58,120.36839244725779,342.51759223596565,1,hard,subject_003
59,120.5502894483602,310.61808277832733,1,easy,subject_003
60,122.3769394606128,279.196577001181,0,easy,subject_003
61,125.33306883251717,774.1639338880934,1,medium,subject_003
62,128.76312459459044,346.9992107453291,1,medium,subject_003
63,130.2873260709928,307.7333936206606,1,medium,subject_003
64,134.88089174552775,264.67391130831953,1,hard,subject_003
65,136.8587208052146,356.7544625001374,1,easy,subject_003
66,137.81599176546496,266.53993272593374,1,medium,subject_003
67,142.0221096958299,445.22314925039075,1,hard,subject_003
68,143.96679271882013,306.8273514027749,1,easy,subject_003
69,147.07672434613357,315.81936133326315,1,medium,subject_003
70,148.83376911610148,264.4197132266828,1,medium,subject_003
71,150.28098511032906,308.94836792741773,1,easy,subject_003
72,152.27661447680566,352.2391327382289,1,medium,subject_003
73,153.6413042215488,336.33903426284,1,easy,subject_003
74,154.4391773995757,338.1222450499679,1,easy,subject_003
75,154.60934777751342,270.854256930561,1,medium,subject_003
76,157.012703195312,218.70517256111026,1,easy,subject_003
77,159.43433481618968,906.7588900311982,1,medium,subject_003
78,160.9993615911376,303.2944161368321,1,medium,subject_003
79,172.17318920062857,238.48865990997828,1,easy,subject_003
80,173.51142780170585,369.2003828436939,1,medium,subject_003
81,176.3511215873383,249.10199874756,1,easy,subject_003
82,176.41184139710955,254.47413442063265,1,medium,subject_003
83,177.43135007017364,312.276505915006,1,easy,subject_003
84,177.5347189393565,337.8199268979193,1,hard,subject_003
85,177.85595885896768,416.5766490463504,1,easy,subject_003
86,178.0516702068352,315.86602483959683,1,easy,subject_003
87,178.1787830354608,250.5627224137404,1,hard,subject_003
88,179.1044181651196,933.3308769363697,1,hard,subject_003
89,180.30475059669968,746.3407998451175,1,hard,subject_003
90,185.12165476795033,332.9426073202199,1,easy,subject_003
91,186.15296647776708,301.03378712708513,1,easy,subject_003
92,186.67355134253208,315.1363012926327,1,easy,subject_003
93,186.81050867581052,949.6639474047465,1,medium,subject_003
94,187.26303504638054,296.8845715760462,1,hard,subject_003
95,188.62288459553875,241.17164129057744,1,medium,subject_003
96,190.6779914203539,253.9242630998322,1,medium,subject_003
97,197.0025335087995,271.3272959271185,1,hard,subject_003
98,201.41223131664958,238.61048670139138,1,medium,subject_003
99,204.11294364845617,302.6040237574651,1,easy,subject_003
100,205.30416974362157,264.3302740114203,1,easy,subject_003
