trial_number,condition,reaction_time,correct,subject_id
1,easy,437.55397661969175,True,multimodal_002
2,medium,529.7038379031101,True,multimodal_002
3,hard,571.7698212286901,True,multimodal_002
4,medium,760.5913172280334,True,multimodal_002
5,easy,488.87021630469246,True,multimodal_002
6,medium,458.6611781104407,True,multimodal_002
7,easy,423.01375719422686,True,multimodal_002
8,easy,380.5846563018699,True,multimodal_002
9,hard,694.1134979313985,True,multimodal_002
10,easy,395.9758708924303,True,multimodal_002
11,easy,362.2065806992389,True,multimodal_002
12,easy,390.3886183939551,True,multimodal_002
13,medium,442.8022836690522,True,multimodal_002
14,easy,274.227767259574,True,multimodal_002
15,easy,351.3371358158158,True,multimodal_002
16,hard,615.5015778005136,True,multimodal_002
17,easy,390.7516639109766,True,multimodal_002
18,easy,482.4356045698905,True,multimodal_002
19,easy,308.46595680491714,True,multimodal_002
20,easy,424.531295940164,True,multimodal_002
21,easy,368.295537958083,True,multimodal_002
22,easy,405.15053667100153,True,multimodal_002
23,medium,412.2880683544648,True,multimodal_002
24,medium,682.6757266804537,True,multimodal_002
25,easy,386.87653049082917,True,multimodal_002
26,easy,436.1829928415453,True,multimodal_002
27,medium,668.67406233121,True,multimodal_002
28,medium,486.363595022023,True,multimodal_002
29,hard,730.8611905115698,True,multimodal_002
30,easy,465.8020765648179,True,multimodal_002
31,hard,1086.3920057814141,True,multimodal_002
32,easy,544.3514683094003,True,multimodal_002
33,hard,873.0982056892929,True,multimodal_002
34,medium,562.0025710736531,True,multimodal_002
35,medium,696.9594281463369,True,multimodal_002
36,easy,200.0,True,multimodal_002
37,easy,345.0376022840401,True,multimodal_002
38,easy,484.78433232713803,True,multimodal_002
39,easy,355.28665553445364,True,multimodal_002
40,hard,890.2274837851395,True,multimodal_002
41,medium,490.34208131308475,True,multimodal_002
42,easy,390.29723913025134,True,multimodal_002
43,hard,395.60491449745984,True,multimodal_002
44,easy,318.16790545701156,True,multimodal_002
45,easy,443.19096808111993,True,multimodal_002
46,hard,757.1360964501835,False,multimodal_002
47,easy,460.4292224516809,True,multimodal_002
48,medium,536.3284145036895,True,multimodal_002
49,medium,573.3260699761578,True,multimodal_002
50,easy,508.3101264555618,True,multimodal_002
51,medium,599.49239369118,True,multimodal_002
52,easy,495.01259987076344,True,multimodal_002
53,medium,610.6194031157775,True,multimodal_002
54,easy,442.0941962105986,True,multimodal_002
55,medium,731.3641067484613,True,multimodal_002
56,easy,387.1009764388813,True,multimodal_002
57,medium,636.2208635845847,True,multimodal_002
58,medium,567.8186245893385,False,multimodal_002
59,easy,312.26064477960824,True,multimodal_002
60,easy,479.36262262557904,True,multimodal_002
61,easy,515.5902954546783,True,multimodal_002
62,hard,684.5025637888065,True,multimodal_002
63,easy,388.4239130620104,True,multimodal_002
64,hard,783.3932156232604,True,multimodal_002
65,easy,333.9336201751735,False,multimodal_002
66,easy,376.9038988068616,True,multimodal_002
67,hard,643.8291466975076,True,multimodal_002
68,medium,827.8532814475615,True,multimodal_002
69,easy,444.9207703881377,True,multimodal_002
70,medium,527.8312301731794,True,multimodal_002
71,medium,694.3539648889816,True,multimodal_002
72,easy,590.183231898322,True,multimodal_002
73,hard,562.8307897704647,True,multimodal_002
74,hard,667.692246610862,True,multimodal_002
75,medium,596.4217909486488,True,multimodal_002
76,easy,410.1125396996946,True,multimodal_002
77,easy,502.4019735702525,True,multimodal_002
78,easy,477.08903122307186,True,multimodal_002
79,medium,681.4238620155355,True,multimodal_002
80,easy,457.46859167036257,False,multimodal_002
81,easy,498.623681639661,False,multimodal_002
82,easy,354.65775668560707,True,multimodal_002
83,hard,536.0518813442968,True,multimodal_002
84,medium,322.1483501769335,True,multimodal_002
85,easy,477.2805914770022,True,multimodal_002
86,easy,540.9086094659416,False,multimodal_002
87,easy,501.7414145143646,True,multimodal_002
88,medium,604.6275735171015,False,multimodal_002
89,hard,806.8194386802616,False,multimodal_002
90,hard,741.4646124634037,False,multimodal_002
91,easy,343.3116090307648,True,multimodal_002
92,medium,434.69833273885695,True,multimodal_002
93,easy,369.79238122395697,True,multimodal_002
94,medium,452.37573351752206,True,multimodal_002
95,easy,404.4075764034655,True,multimodal_002
96,easy,322.9164793033989,True,multimodal_002
97,easy,247.9150440455008,True,multimodal_002
98,easy,370.6712894270192,True,multimodal_002
99,medium,572.8008049491264,True,multimodal_002
100,easy,354.1351769265678,True,multimodal_002
101,medium,665.4143037967592,True,multimodal_002
102,easy,308.6516154369578,True,multimodal_002
103,easy,425.2789877639701,True,multimodal_002
104,medium,546.5024917769059,True,multimodal_002
105,medium,454.17449863024484,False,multimodal_002
106,hard,585.3262262694291,False,multimodal_002
107,easy,436.6975256448058,True,multimodal_002
108,easy,472.9446618058028,True,multimodal_002
109,medium,662.1068133972076,True,multimodal_002
110,medium,529.7611880920329,True,multimodal_002
111,medium,642.4781412185871,True,multimodal_002
112,easy,390.17626021746605,True,multimodal_002
113,easy,543.4915505395356,True,multimodal_002
114,easy,362.2532408152772,True,multimodal_002
115,medium,655.9097746888688,False,multimodal_002
116,medium,497.7876079291624,True,multimodal_002
117,medium,698.3990932387343,True,multimodal_002
118,easy,463.1878470351347,True,multimodal_002
119,medium,632.6512455953009,True,multimodal_002
120,medium,640.4586135982304,True,multimodal_002
