trial_number,condition,reaction_time,correct,subject_id
1,medium,638.6481290183636,True,multimodal_001
2,easy,406.11947347682593,True,multimodal_001
3,easy,369.1480296693019,True,multimodal_001
4,easy,479.1414532595445,True,multimodal_001
5,easy,358.01135358301536,True,multimodal_001
6,medium,553.2012580366809,False,multimodal_001
7,medium,644.5907416865482,True,multimodal_001
8,medium,430.8548430314526,True,multimodal_001
9,easy,474.0667441020575,True,multimodal_001
10,easy,422.8927525879031,True,multimodal_001
11,medium,528.8545964562101,False,multimodal_001
12,medium,653.5936074101917,True,multimodal_001
13,easy,363.0345780797824,False,multimodal_001
14,hard,739.1191229002511,True,multimodal_001
15,easy,275.1589005440993,True,multimodal_001
16,easy,536.6861887542196,True,multimodal_001
17,medium,572.1130245541026,True,multimodal_001
18,easy,447.4519777778777,True,multimodal_001
19,easy,469.8461843776621,False,multimodal_001
20,medium,548.412627873716,True,multimodal_001
21,medium,615.8369456106168,True,multimodal_001
22,medium,516.0034190755545,True,multimodal_001
23,easy,476.007870104078,True,multimodal_001
24,easy,381.6285392252189,True,multimodal_001
25,medium,548.9347239094418,True,multimodal_001
26,easy,387.1345218517692,True,multimodal_001
27,hard,809.4350984889154,False,multimodal_001
28,easy,388.5847586838534,True,multimodal_001
29,medium,457.8624281484191,True,multimodal_001
30,hard,541.8026842575996,False,multimodal_001
31,easy,497.77904307132417,False,multimodal_001
32,medium,572.5026627488069,True,multimodal_001
33,easy,398.24836142628607,True,multimodal_001
34,easy,348.35020259469707,True,multimodal_001
35,medium,553.467377576308,True,multimodal_001
36,easy,421.2798835982135,True,multimodal_001
37,easy,430.03268826719017,True,multimodal_001
38,medium,719.1347669263125,True,multimodal_001
39,easy,423.08425424718286,True,multimodal_001
40,hard,519.6960869954409,True,multimodal_001
41,medium,574.566567037377,True,multimodal_001
42,medium,297.15550274512816,True,multimodal_001
43,easy,444.6283995788665,True,multimodal_001
44,hard,483.41165562917416,True,multimodal_001
45,easy,451.43239477337085,True,multimodal_001
46,hard,870.3371689823748,True,multimodal_001
47,medium,610.0101612965792,True,multimodal_001
48,medium,491.90840059104363,True,multimodal_001
49,medium,697.9117370880211,True,multimodal_001
50,medium,424.2576911424505,True,multimodal_001
51,medium,598.3659581326029,True,multimodal_001
52,easy,310.78663117598524,True,multimodal_001
53,hard,701.7071141501636,True,multimodal_001
54,easy,378.1501282537931,True,multimodal_001
55,medium,597.9816908997251,False,multimodal_001
56,hard,806.1312974897479,True,multimodal_001
57,easy,348.8642470941357,True,multimodal_001
58,easy,262.4672121514009,True,multimodal_001
59,medium,479.8130453376153,True,multimodal_001
60,easy,327.23347486165875,True,multimodal_001
61,easy,432.5589535634477,True,multimodal_001
62,medium,393.23235791985394,True,multimodal_001
63,easy,399.6035842903049,True,multimodal_001
64,hard,1030.3149625179926,True,multimodal_001
65,easy,446.2153190804035,True,multimodal_001
66,medium,489.9284648378268,False,multimodal_001
67,medium,247.1149562996391,True,multimodal_001
68,medium,466.61310267496464,True,multimodal_001
69,hard,681.7733752447436,True,multimodal_001
70,easy,339.41439871779045,True,multimodal_001
71,hard,897.395992657156,True,multimodal_001
72,medium,701.4087225468512,True,multimodal_001
73,medium,422.1212890513617,False,multimodal_001
74,hard,633.7165228994457,True,multimodal_001
75,easy,430.6196373795594,True,multimodal_001
76,medium,530.9629359124626,True,multimodal_001
77,easy,521.5650339272918,True,multimodal_001
78,easy,555.154342971708,True,multimodal_001
79,easy,323.4786809155165,True,multimodal_001
80,hard,845.4964901004889,True,multimodal_001
81,hard,993.902348630158,True,multimodal_001
82,medium,632.9855765758151,False,multimodal_001
83,easy,397.0354594554266,True,multimodal_001
84,easy,331.34662126875236,True,multimodal_001
85,easy,514.4866049970516,True,multimodal_001
86,easy,510.0661847681504,True,multimodal_001
87,hard,826.100304453845,True,multimodal_001
88,hard,922.4505239138177,True,multimodal_001
89,easy,389.1144294862717,True,multimodal_001
90,medium,802.8629981975624,True,multimodal_001
91,easy,492.36935676538843,True,multimodal_001
92,easy,314.07936362234096,True,multimodal_001
93,easy,615.7999683914112,True,multimodal_001
94,easy,527.7065174266237,True,multimodal_001
95,medium,718.0846865714341,True,multimodal_001
96,medium,392.6925805360956,False,multimodal_001
97,medium,461.153347331264,True,multimodal_001
98,easy,302.1126989324651,True,multimodal_001
99,easy,262.09578983805454,True,multimodal_001
100,easy,474.06187824963393,True,multimodal_001
101,easy,413.4038520239219,True,multimodal_001
102,medium,496.76198761333325,True,multimodal_001
103,medium,727.4149577635931,True,multimodal_001
104,medium,575.4287964483472,True,multimodal_001
105,easy,324.52019965937745,True,multimodal_001
106,medium,468.48552852822144,True,multimodal_001
107,medium,478.85045638886646,True,multimodal_001
108,medium,488.7402363905822,True,multimodal_001
109,medium,439.07669124363207,False,multimodal_001
110,easy,348.8249440868439,True,multimodal_001
111,easy,329.5395145736014,True,multimodal_001
112,easy,382.0937216982191,True,multimodal_001
113,easy,302.5384182985228,True,multimodal_001
114,medium,578.5824670527039,True,multimodal_001
115,easy,321.86427870827066,True,multimodal_001
116,easy,323.2494432333826,True,multimodal_001
117,easy,315.06734772414336,True,multimodal_001
118,medium,647.9130731254409,True,multimodal_001
119,medium,414.35124376535924,True,multimodal_001
120,medium,583.9159055307186,True,multimodal_001
